feature,mean_abs_shap
home_season_win_pct_to_date,0.1933552
home_home_pts_for_last10,0.18686047
home_net_last10,0.16654511
away_top5_missing,0.12991337
away_away_pts_against_last10,0.1241601
away_season_win_pct_to_date,0.12233223
away_away_pts_for_last10,0.12156328
away_net_last10,0.11983853
home_home_pts_against_last10,0.10394522
home_top3_missing,0.10308331
home_win_pct_last10,0.09375716
home_pts_against_last10,0.08827306
home_pts_for_last10,0.082074024
away_pts_for_last10,0.07327899
away_rest_days,0.07030587
away_away_win_pct_last10,0.06869395
away_pts_against_last10,0.06789673
home_home_win_pct_last10,0.061705217
away_win_pct_last10,0.057758607
away_top3_missing,0.05384722
home_top5_missing,0.043166604
home_rest_days,0.031733356
home_b2b,0.008360824
away_b2b,0.0077676154
